Straßenname;Hinweis_zum_Straßennamen;Planquadrat_von;Planquadrat_bis;Lage_im_Straßennetz_von_Straße;Lage_im_Straßennetz_bis_Straße;Stadtteilname;Postleitzahl;Straßenschluessel-Nr.;ungerade_Haus-Nr._von;ungerade_Haus-Nr._bis;gerade_Haus-Nr._von;gerade_Haus-Nr._bis;Stadtteil-Nr.
Altenbrückstraße;;5072;5172;Further Straße;Autobahn;Hassels;40599;1040;;;;;98
Alten Rhein;siehe Am A. Rh.;;;;;;;;;;;;
Alter Markt;;5078;;Steinweg;Kölner Tor;Gerresheim;40625;1041;;;;;71
Altestadt;;4477;;Schlossufer;Ursulinengasse;Altstadt;40213;1042;;;;;11
Alt-Heerdt;;4078;4077;Nikolaus-Knopp-Platz;Werftstraße;Heerdt;40549;1043;;;;;42
Alt-Himmelgeist;;4670;;Rheinstrom;Steinkaul;Himmelgeist;40589;1044;;;;;92
Alt-Niederkassel;;4378;4379;vor Kanalstr. beginn.,d. kreuz.;An der Apfelweide;Niederkassel;40547;1045;;;;;44
Alt-Pempelfort;;4577;;Duisburger Straße;Vagedesstraße;Pempelfort;40211;1046;;;;;14
Alzeyer Weg;;4775;4774;Dürkheimer Weg;Erbacher Weg;Oberbilk;40227;1047;;;;;37
Am Aaper Weg;;5181;;Am Wagenrast;Am Birkenkamp;Knittkuhl;40629;709;;;;;75
Am Adershof;;4480;;Johannstraße;Hugo-Viehoff-Straße;Derendorf;40476;1048;;;;;15
Am Albertussee;;4178;;Heerdter Lohweg;nach Westen;Heerdt;40549;3724;;;;;42
Amalienstraße;;5781;;Rather Kirchplatz;Tevernstraße;Rath;40472;1049;;;;;63
Amalienweg;;5281;;Am Roten Haus;Föhrenweg;Stockum;40468;3650;;;;;51
Am Alten Amtsgericht;;4477;;Neubrückstraße;Ratinger Straße;Altstadt;40213;;;;;;11
Am Alten Rhein;;5068;;Urdenbacher Dorfstraße;Heiligenstraße;Urdenbach;40593;1050;;;;;96
Am Angerbach;;4589;;Angeraue;nach Westen;Angermund;40489;876;;;;;55
Am Angerfeld;;4589;;Im Großen Winkel;Melaniestraße;Angermund;40489;571;;;;;55
Am Ausleger;;4966;5067;Stadtgrenze;Ortweg;Urdenbach;40593;1051;;;;;96
Am Backesberg;;5080;4980;Am Wackerzapf;nach Nordosten;Rath;40629;1052;1;999;2;2;63
Am Backesberg;;5080;4980;Am Wackerzapf;nach Nordosten;Ludenberg;40629;1052;;;4;998;73
Am Bärenkamp;;4671;5670;Maikammer;Himmelgeister Landstraße;Himmelgeist;40589;1053;;;;;92
Am Bahnhof;;4586;4585;Kalkumer Schlossallee;nach Norden und Süden;Kalkum;40489;633;;;;;56
Am Band;;5581;;Lindenbecker Weg;Ratinger Landstraße;Hubbelrath;40629;727;;;;;74
Am Bauenhaus;;4882;5082;Reichswaldallee;Stadtgrenze;Rath;40472;719;1;39;2;40;63
Am Bauenhaus;;4882;5082;Reichswaldallee;Stadtgrenze;Rath;40472;719;41;999;42;998;63
Am Bermeshau;;4775;4776;Erkrather Straße;Am Karlshof;Lierenfeld;40231;1054;;;;;81
Am Binnenwasser;;4379;4479;Cecilienallee;Kaiserswerther Straße;Golzheim;40474;1055;;;;;16
Am Birkenhain;;4779;;In der Gartenstadt;Roteichenweg;Mörsenbroich;40470;3432;;;;;64 
Am Birkenkamp;;5181;;Am Mergelsberg;Am Wagenrast;Knittkuhl;40629;710;;;;;75
Am Bockskothen;;4982;4882;Mühlenbroicher Weg;Reichswaldallee;Rath;40472;1056;;;;;63
Am Bongard;;5180;;Bergische Landstr.;nach Südosten;Ludenberg;40629;1057;;;;;73
Am Bonneshof;;4380;4480;Tersteegenstraße;Danziger Straße;Golzheim;40474;1058;;;;;16
Ambossplatz;;4178;;Ambossstraße;Sportstraße;Lörick;40547;1059;;;;;43
Ambossstraße;;4178;4179;Hansaallee;Niederkasseler Lohweg;Lörick;40547;1060;;;;;43
Am Botanischen Garten;;4673;;Christophstraße;nach Osten;Bilk;40225;3753;;;;;36
Am Brambusch;;4382;;Wacholderweg;An den Birken;Stockum;40468;1061;;;;;51
Am Broichgraben;;4770;;Huvestraße;Am Steinebrück;Itter;40589;1062;;;;;97
Am Brückerbach;;4773;;Rheindorfer Weg;nach Norden;Wersten;40591;3676;;;;;91
Am Brugacker;;4389;4489;Duisburger Landstraße;Heltorfer Schlossallee;Wittlaer;40489;870;1;23;2;24;54
Am Brugacker;;4389;4489;Duisburger Landstraße;Heltorfer Schlossallee;Angermund;40489;870;25;999;26;998;55
Am Buchholzer Busch;;5269;5368;Hildener Straße;Güstrower Straße;Benrath;40595;1063;;unbebaut;;;95
Am Buchholzer Busch;;5269;5368;Hildener Straße;Güstrower Straße;Garath;40595;1063;1;999;2;998;101
Am Bürgerhaus;;5480;;Dorfstraße;nach Nordwesten;Hubbelrath;40629;850;;;;;74
Am Damm;;4189;4989;Bockumer Straße;nach Nordwesten;Wittlaer;40489;634;;;;;54
Am Dammsteg;;4973;4873;Am Straußenkreuz;Oerschbachstraße;Eller;40591;1065;1;107;2;70;82
Am Dammsteg;;4973;4873;Am Straußenkreuz;Oerschbachstraße;Eller;40591;1065;109;109;72;98;82
Am Dammsteg;;4973;4873;Am Straußenkreuz;Oerschbachstraße;Wersten;40591;1065;111;999;;;91
Am Dammsteg;;4973;4873;Am Straußenkreuz;Oerschbachstraße;Holthausen;40591;1065;;;100;998;93
Am Deich;;4378;4379;vor Habsburger Str. beginn.;Kaiser-Friedrich-Ring;Niederkassel;40547;3201;;;;;44
Am Denkmal;;5171;;Hasselsstraße;Heiligenhauser Straße;Hassels;40599;3663;;;;;98
Am Dernkamp;;5079;5179;Bergische Landstr.;Dernbuschweg;Ludenberg;40629;1066;;;;;73
Am Dickenbusch;;4389;;Am Froschenteich;nach Südwesten;Angermund;40489;635;;;;;55
Am Dominikanerkloster;;4477;;Andreasstraße;Hunsrückenstraße;Altstadt;40213;3447;;;;;11
Am Ellerforst;;5075;5074;Vennhauser Allee;Freiheitstraße;Vennhausen;40627;1067;;;;;83
Am Erlenhof;;4773;;Millrather Straße;Ohligser Straße;Wersten;40591;1068;;;;;91
Am Eulenthal;;5076;;Kamper Weg;In der Meide;Gerresheim;40627;1069;;;;;71
Am Falder;;4771;4871;Am Zunder;Itterstraße;Holthausen;40589;1070;;;;;93
Am Fallhammer;;4175;4177;Hamburger Straße;Wesermünder Straße;Hafen;40221;1071;;;;;33
Am Farnacker;;4870;4770;Am Trippelsberg;nach Nordosten;Holthausen;40589;3236;1;999;;;93
Am Farnacker;;4870;4770;Am Trippelsberg;nach Nordosten;Itter;40589;3236;;;2;998;97
Am Feldhof;;5181;;Am Püttkamp;nach Südosten, dann Südwesten;Knittkuhl;40629;711;;;;;75
Am Feldwinkel;;4183;;An der Bausenheide;Karl-Houben-Straße;Lohausen;40474;1072;;;;;52
Am Fischerbreuel;;4588;4488;Angermunder Straße;nach Nordwesten;Angermund;40489;572;;;;;55
Am Flugfeld;;4385;;Zeppenheimer Straße;Zeppenheimer Straße;Kalkum;40489;636;;;;;56
Am Forst Kalkum;;4683;;Krahnenburgstraße;nach Norden;Lichtenbroich;40472;3252;;;;;61
Am Frohnhof;;4385;;Alte Kalkumer Straße;Kleianspatt;Kalkum;40489;637;;;;;56
Am Fronberg;;4386;4385;Joseph-Brodmann-Straße;Joseph-Brodmann-Straße;Kaiserswerth;40489;3588;;;;;53
Am Froschenteich;;4389;;Duisburger Landstraße;Am Dickenbusch;Wittlaer;40489;844;1;27;2;28;54
Am Froschenteich;;4389;;Duisburger Landstraße;Am Dickenbusch;Angermund;40489;844;29;999;30;998;55
Am Gallberg;;5079;;Bergische Landstraße;nach Nordwesten;Ludenberg;40629;1074;;;;;73
Am Gansbruch;;4673;4773;Fuhlrottweg;nach Osten, dann Norden;Wersten;40591;1075;;;;;91
Am Garather Mühlenbach;;5367;;Am Kapeller Feld;nach Osten, dann Norden;Garath;40595;3762;;;;;101
Am Gartenkamp;;5180;;Bergische Landstraße;Am Moschenhof;Ludenberg;40629;1076;;;;;73
Am Gatherhof;;4781;5781;Westfalenstraße;Bochumer Straße;Rath;40472;1077;;;;;63
Am Geisterberg;;5080;;Blanckertzstraße;Blanckertzstraße;Ludenberg;40629;1078;;;;;73
Am Gengelsträßchen;;4582;5482;westlich Am Röttchen;Am Röttchen;Unterrath;40468;1079;;;;;62
Am Gentenberg;;4184;4284;Niederrheinstraße;Lohauser Deich;Lohausen;40489;1080;;;2;998;52
Am Gentenberg;;4184;4284;Niederrheinstraße;Lohauser Deich;Kaiserswerth;40489;1080;1;999;;;53
Am Gieb;;5180;5280;Rotthäuser Weg;nach Osten;Hubbelrath;40629;3570;;;;;74
Am Ginsterberg;;5274;5374;Nettetalstraße;nach Südwesten;Unterbach;40627;788;;;;;84
Am Götzenkothen;;4882;5882;Am Bockskothen;nach Südwesten;Rath;40472;1081;;;;;63
Am Grenzgraben;;4681;4581;Auf der Reide;Meidericher Straße;Unterrath;40468;1083;;;;;62
Am Großen Dern;;5078;5079;Gräulinger Str. über Dernbuschweg;Gräulinger Straße;Ludenberg;40625;1084;;;;;73
Am Grünewald;;5078;;Am Venn;Gräulinger Straße;Gerresheim;40625;1085;;;;;71
Am Grünhof;;5269;5169;Hildener Straße;Hildener Straße;Benrath;40597;3830;;;;;95
Am Hackenbruch;;4975;4874;Klein-Eller;Eisenbahn;Lierenfeld;40231;1086;1;63;;;81
Am Hackenbruch;;4975;4874;Klein-Eller;Eisenbahn;Eller;40231;1086;65;999;2;998;82
Am Haferkamp;;4772;4671;Ickerswarder Straße;Ickerswarder Straße;Wersten;40589;1087;;;;;91
Am Hain;;4381;;Kaiserswerther Straße;Deikerstraße;Stockum;40474;1088;1;35;2;32;51
Am Hain;;4381;;Kaiserswerther Straße;Deikerstraße;Stockum;40468;1088;37;999;34;998;51
Am Handelshafen;;4376;4276;Franziusstraße;nach Nordosten;Hafen;40221;3771;;;;;33
Am Hang;;5274;5275;Am Pfaffenbusch;nach Nordosten;Unterbach;40627;765;;;;;84
Am Haustertshof;;5274;;Vennstraße;Gerresheimer Landstraße;Unterbach;40627;766;;;;;84
Am Heerdter Hof;;4178;4078;Schiessstraße;Im Kämpchen;Heerdt;40549;1089;;;;;42
Am Heerdter Busch;;3978;4078;Krefelder Straße;Straßenende;Heerdt;40549;3421;;;;;42
Am Heerdter Krankenhaus;;4178;4177;Rheinallee;Pariser Straße;Oberkassel;40549;3529;1;999;;;41
Am Heerdter Krankenhaus;;4178;4177;Rheinallee;Pariser Straße;Heerdt;40549;3529;;;2;998;42
Am Heidberg;;5274;5275;Flachskampstraße;Flachskampstraße;Unterbach;40627;767;;;;;84
Am Heidhügel;;4381;;Danziger Straße;Sandweg;Stockum;40468;1090;;;;;51
Am Heiligenhäuschen;;4377;;Düsseldorfer Str.;Rheinallee;Oberkassel;40545;1092;;;;;41
Am Hexbusch;;5275;;Flachskampstraße;nach Norden;Unterbach;40627;769;;;;;84
Am Hirschgraben;;5075;;Friedrich-Engels-Straße;Hürthstraße;Vennhausen;40627;1093;;;;;83
Am Hochofen;;4077;;Werftstraße;Stadtgrenze;Heerdt;40549;1094;;;;;42
Am Hohlen Berg;;5375;5274;Am Pfaffenbusch;nach Nordwesten;Unterbach;40627;768;;;;;84
Am Holderbusch;;4975;;Eller Kamp;Neusalzer Weg;Vennhausen;40627;1095;;;;;83
Am Holunderbusch;;4779;;In der Gartenstadt;In der Gartenstadt;Mörsenbroich;40470;3434;;;;;64
Am Holzkamp;;5077;;Dreifaltigkeitsstraße;nach Norden;Gerresheim;40625;1096;;;;;71
Am Hülserhof;;4682;4783;Theodorstraße;Stadtgrenze;Rath;40472;3163;;;;;63
Am Hülsfeld;;5280;5281;Stratenweg;Stratenweg;Hubbelrath;40629;747;;;;;74
Am Hüttenhof;;4385;;Edmund-Bertrams-Straße;Zeppenheimer Straße;Kalkum;40489;638;;;;;56
Am Irlenspahn;;5078;5077;Am Pesch;Friedrich-Wilhelm-Straße;Gerresheim;40625;1098;;;;;71
Am Kaldenberg;;4387;;Einbrunger Straße;nach Süden;Wittlaer;40489;639;;;;;54
Am Kapeller Feld;;5367;5368;Frankfurter Straße;Stadtgrenze;Garath;40595;1099;;;;;101
Am Karlshof;;4774;4776;Am Bermeshau;Erkrather Straße;Lierenfeld;40231;1100;;;;;81
Am Katharinenkloster;;4689;;Rahmer Straße;Kalkstraße;Angermund;40489;3892;;;;;55
Am Kehrbesen;;4288;4487;Duisburger Landstraße;An der Reith;Wittlaer;40489;869;1;99;2;998;54
Am Kehrbesen;;4288;4487;Duisburger Landstraße;An der Reith;Angermund;40489;869;101;999;;;55
Am Keienhof;;5180;;Am Bongard;nach Süden;Ludenberg;40629;1101;;;;;73
Am Kiefernforst;;5274;;Am Pfaffenbusch;nach Nordosten u. Südosten;Unterbach;40627;770;;;;;84
Am Kirschbaumwäldchen;;4179;;Niederkasseler Lohweg;nach Norden;Lörick;40547;3748;;;;;43
Am Kittelbach;;4581;;An der Piwipp;;Unterrath;40468;3478;;;;;62
Am Kleiansacker;;4385;;Alte Kalkumer Str.;nach Osten;Kalkum;40489;640;;;;;56
Am Kleianskreuz;;4385;5285;Zeppenheimer Straße;Zeppenheimer Straße;Kalkum;40489;641;;;;;56
Am Kleinforst;;4974;5173;Vennhauser Allee;nach Südosten;Vennhausen;40627;1102;1;117;2;116;83
Am Kleinforst;;4974;5173;Vennhauser Allee;nach Südosten;Unterbach;40627;1102;119;999;118;998;84
Am Klompenkothen;;4386;;Unterdorfstraße;nach Westen, dann Süden;Kalkum;40489;642;;;;;56
Am Klosterhof;;4582;;Kürtenstraße;Eisenbahn;Unterrath;40472;1103;;;;;62
Am Köhnen;;5071;5072;Bublitzer Straße;Altenbrückstraße;Hassels;40599;1104;;;;;98
Am Königshof;;4582;;Kürtenstraße;nach Westen;Unterrath;40472;3750;;;;;62
Am Koppelshof;;5281;5280;Ringstraße;nach Süden;Hubbelrath;40629;872;;;;;74
Am Krahnap;;4974;;Gumbertstraße;Krippstraße;Eller;40229;1106;;;;;82
Am Krausen Baum;;4288;;Kalkstraße;Franz-Vaahsen-Weg;Wittlaer;40489;643;;;;;54
Am Kreuz;;4589;;Angeraue;nach Westen;Angermund;40489;829;;;;;55
Am Kreuzberg;;4285;;Kreuzbergstraße;nach Osten;Kaiserswerth;40489;3701;;;;;53
Am Krienengarten;;4189;;Rosspfad;Am Damm;Wittlaer;40489;644;;;;;54
Am Krummen Weg;;4180;4179;Oberlöricker Straße;Bonifatiusstraße;Lörick;40547;1107;;;;;43
Am Kuhtor;;4275;4175;Hemmersbachweg;Kuhstraße;Hamm;40221;3194;;;;;34
Am Langenfeldsbusch;;6175;;Rathelbeckstraße;nach Nordosten;Unterbach;40627;3285;;;;;84
Am Langen Weiher;;4872;4871;Henkelstraße;Nosthoffenstraße;Holthausen;40589;1108;;;;;93
Am Lehn;;5078;;Am Poth;Gräulinger Straße;Gerresheim;40625;1109;;;;;71
Am Lichtenbroicher Graben;;4583;;Lichtenbroicher Weg;nach Südwesten;Lichtenbroich;40472;3633;;;;;61
Am Litzgraben;;4588;;Zur Lindung;In den Blamüsen;Angermund;40489;575;;;;;55
Am Löricker Wäldchen;;4179;4079;Löricker Straße;nach Westen;Lörick;40547;3792;;;;;43
Am Massenberger Kamp;;4772;;Bahlenstraße;Bahlenstraße;Wersten;40589;1110;;;;;91
Am Mergelsberg;;5181;;Knittkuhler Straße;nach Westen;Knittkuhl;40629;708;;;;;75
Ammerweg;;4481;;Krönerweg;nach Norden;Unterrath;40468;3573;;;;;62
Am Mickeler Busch;;4670;;Alt-Himmelgeist;Elmenweide;Himmelgeist;40589;3161;;;;;92
Am Mönchgraben;;5270;5271;Paulsmühlenstraße;Forststraße;Benrath;40597;3254;;;;;95
Am Moschenhof;;5180;;Bergische Landstraße;Rotthäuser Weg;Ludenberg;40629;1111;;;;;73
Am Mühlenacker;;4386;4287;Arnheimer Straße;Kalkumer Schlossallee;Kaiserswerth;40489;1112;1;999;;;53
Am Mühlenacker;;4386;4287;Arnheimer Straße;Kalkumer Schlossallee;Wittlaer;40489;1112;;;2;30;54
Am Mühlenacker;;4386;4287;Arnheimer Straße;Kalkumer Schlossallee;Kalkum;40489;1112;;;32;998;56
Am Mühlenberg;;4078;5078;Krefelder Straße;Bayerstraße;Heerdt;40549;3756;;;;;42
Am Mühlendamm;;4689;4588;Angermunder Straße;nach Süden;Angermund;40489;576;;;;;55
Am Mühlenkamp;;4387;4286;Am Mühlenacker;nach Norden;Wittlaer;40489;646;;;;;54
Am Mühlenturm;;4285;;Kaiserswerther Markt;Fliednerstraße;Kaiserswerth;40489;1113;;;;;53
Am Nettchesfeld;;4771;;Am Falder;nach Norden;Holthausen;40589;1114;;;;;93
Am Neuenhof;;5181;;Am Mergelsberg;In der Flieth;Knittkuhl;40629;712;;;;;75
Am Nordfriedhof;;4480;;Johannstraße;Danziger Straße;Derendorf;40468;1115;1;7;2;6;15
Am Nordfriedhof;;4480;;Johannstraße;Danziger Straße;Golzheim;40468;1115;9;999;8;998;16
Am Nussbaum;;4779;5779;Ligustenweg;Haselnussweg;Mörsenbroich;40470;3438;;;;;64
Am Oberen Werth;;4286;;Arnheimer Straße;nach Osten und weiter nach Westen;Kaiserswerth;40489;3618;;;;;53
Am Ökotop;;4078;;Krefelder Straße;nach Südwesten;Heerdt;40549;3732;;;;;42
Am Pappelwäldchen;;4377;4279;Oberkasseler Brücke;Strandbad Lörick;Niederkassel;40547;1116;;;;;44
Am Pesch;;5078;;Kölner Tor;Steinweg;Gerresheim;40625;1117;;;;;71
Am Pfaffenbusch;;5374;5275;Gerresheimer Landstraße;Holzkampsweg;Unterbach;40627;771;;;;;84
Am Pflanzkamp;;5073;;Südlicher Zubringer;Büllenkothenweg;Eller;40229;1118;;;;;82
Am Platten Stein;;4588;;Im Mühlenbruch;nach Nordwesten;Angermund;40489;577;;;;;55
Am Postsportplatz;;4977;;Dreherstraße;Schreberweg;Gerresheim;40625;1119;;;;;71
Am Poth;;5078;;Benderstraße;Schwarzbachstraße;Gerresheim;40625;1120;;;;;71
Am Pritschauhof;;5170;;Friedhofstraße;nach Nordwesten;Benrath;40597;1121;;;;;95
Am Püttkamp;;5181;;Am Mergelsberg;nach Osten und Norden;Knittkuhl;40629;714;;;;;75
Am Quellenbusch;;4977;5076;Magdeburger Straße;nach Südosten;Gerresheim;40625;1122;;;;;71
Am Rahmer Feld;;4589;;Kalkweg;nach Süden;Angermund;40489;831;;;;;55
Am Rethert;;5171;5271;Dirschauer Weg;Dirschauer Weg;Hassels;40599;3244;;;;;98
Am Ringofen;;4979;5079;Am Wildpark;Bergische Landstr.;Gerresheim;40629;3428;;;;;73
Am Rittergut;;4287;;Einbrunger Straße;nach Südwesten;Wittlaer;40489;3471;;;;;54
Am Rittersberg;;5168;;Urdenbacher Acker;nach Westen;Urdenbach;40595;3556;;;;;96
Am Ritterskamp;;4285;;Sankt-Göres-Straße;Alte Landstraße;Kaiserswerth;40489;1123;;;;;53
Am Röhrenwerk;;4782;;Theodorstraße;nach Süden;Rath;40472;3505;;;;;63
Am Röttchen;;4581;4582;Unterrather Straße;Hoferhofstraße;Unterrath;40468;1124;;;;;62
Am Rosenbusch;;5274;;Am Schwalbenberg;Am Pfaffenbusch;Unterbach;40627;805;;;;;84
Am Roten Haus;;4381;4382;Krönerweg;Eckenerstraße;Stockum;40468;1125;;;2;998;51
Am Roten Haus;;4381;4382;Krönerweg;Eckenerstraße;Unterrath;40468;1125;1;999;;;62
Amrumstraße;;4482;;Helgolandstraße;Juiststraße;Unterrath;40468;1126;;;;;62
